AccessID,CustomerID,AccessDate,PageVisited,Duration,DeviceType,BrowserType,OperatingSystem,ReferralSource,GeoLocation,IP_Address,SessionID
41,560,2024-01-31 08:17:07.315082,Home,343,Desktop,Chrome,iOS,Email,UK,176.113.191.83,5333
42,877,2024-03-08 08:17:07.315097,Profile,593,Desktop,Chrome,Android,Google,Canada,216.92.236.149,5825
43,394,2024-03-30 08:17:07.315110,About,102,Tablet,Safari,Windows,Direct,France,197.189.169.88,7297
44,660,2023-10-16 08:17:07.315124,Profile,214,Desktop,Edge,Linux,Google,USA,140.63.155.112,7434
45,946,2024-06-22 08:17:07.315137,Cart,134,Mobile,Firefox,Android,Facebook,Canada,175.130.25.121,1105
46,735,2024-01-26 08:17:07.315151,Profile,168,Tablet,Chrome,Linux,Email,USA,186.194.226.202,3664
47,354,2024-06-08 08:17:07.315166,Support,596,Mobile,Firefox,macOS,Google,UK,217.147.171.228,7334
48,825,2023-11-13 08:17:07.315179,About,233,Tablet,Opera,Windows,Email,UK,28.49.74.56,7121
49,174,2023-09-07 08:17:07.315192,Support,93,Desktop,Firefox,macOS,Email,Canada,234.132.179.48,3267
50,927,2024-06-05 08:17:07.315207,Checkout,394,Tablet,Safari,Linux,Facebook,Australia,170.99.247.221,3416
51,664,2023-09-14 08:17:07.315221,Checkout,382,Tablet,Chrome,Windows,Facebook,Germany,102.76.207.218,8597
52,976,2024-04-24 08:17:07.315234,Cart,438,Tablet,Chrome,Windows,Facebook,France,75.246.168.115,4521
53,724,2024-02-28 08:17:07.315248,Checkout,72,Mobile,Firefox,Windows,Bing,France,107.138.85.110,6131
54,629,2023-09-18 08:17:07.315262,Support,251,Desktop,Firefox,macOS,Direct,Germany,25.88.195.40,4874
55,433,2024-04-08 08:17:07.315277,Support,190,Mobile,Safari,Android,Facebook,Australia,148.156.108.172,6662
56,658,2023-09-06 08:17:07.315291,Cart,160,Tablet,Chrome,Windows,Twitter,USA,16.202.131.160,3435
57,729,2023-10-25 08:17:07.315305,Checkout,363,Mobile,Safari,Linux,Facebook,USA,17.126.36.86,2164
58,98,2024-05-15 08:17:07.315318,Contact,223,Mobile,Safari,iOS,Twitter,France,69.196.14.156,7773
59,494,2024-05-26 08:17:07.315332,Contact,583,Desktop,Firefox,Windows,Google,USA,243.153.179.198,5815
60,542,2024-03-24 08:17:07.315345,Home,475,Tablet,Edge,Windows,Direct,France,195.53.207.102,3629
61,270,2024-05-15 08:17:07.315358,Home,193,Desktop,Chrome,Windows,Bing,Australia,246.156.181.163,5388
62,254,2024-05-05 08:17:07.315371,Profile,325,Mobile,Firefox,Android,Twitter,USA,42.79.128.25,3992
63,398,2024-01-27 08:17:07.315385,Checkout,146,Desktop,Chrome,macOS,Facebook,Australia,168.52.202.55,5222
64,475,2024-02-03 08:17:07.315399,Products,347,Tablet,Opera,Android,Email,Germany,169.88.114.215,5538
65,200,2024-01-21 08:17:07.315412,Home,59,Desktop,Safari,Android,Email,Australia,169.201.69.176,6902
66,518,2024-04-15 08:17:07.315427,Contact,58,Mobile,Opera,macOS,Facebook,UK,41.58.20.163,6592
67,499,2023-08-27 08:17:07.315441,Support,369,Desktop,Opera,macOS,Direct,Canada,148.66.185.27,2749
68,358,2024-05-22 08:17:07.315455,Cart,206,Tablet,Chrome,Android,Direct,UK,106.154.91.145,2613
69,600,2024-05-21 08:17:07.315468,Home,541,Mobile,Edge,Windows,Direct,Australia,86.129.6.170,6852
70,899,2023-12-04 08:17:07.315482,Profile,584,Desktop,Safari,macOS,Email,Germany,113.252.149.140,2290
71,691,2024-01-11 08:17:07.315495,Support,337,Tablet,Chrome,Windows,Google,Australia,130.85.194.97,7081
72,633,2023-10-11 08:17:07.315509,Cart,279,Desktop,Firefox,Windows,Twitter,UK,165.88.160.241,8906
73,957,2023-08-21 08:17:07.315523,Profile,443,Mobile,Firefox,Linux,Direct,Australia,123.87.140.244,3437
74,303,2023-07-28 08:17:07.315538,Products,460,Desktop,Opera,macOS,Bing,Australia,70.162.71.254,8194
75,413,2024-03-12 08:17:07.315552,Support,263,Desktop,Edge,Android,Facebook,USA,126.31.90.5,8942
76,921,2023-12-09 08:17:07.315566,Support,30,Desktop,Safari,macOS,Twitter,France,248.175.35.14,3990
77,466,2023-11-16 08:17:07.315579,Support,88,Desktop,Safari,Android,Direct,UK,80.148.171.162,7032
78,815,2024-04-26 08:17:07.315592,Support,457,Desktop,Chrome,iOS,Bing,Canada,165.111.37.116,6345
79,240,2023-10-14 08:17:07.315608,Contact,390,Tablet,Chrome,Linux,Email,Canada,250.30.224.2,6749
80,235,2024-01-07 08:17:07.315621,About,217,Mobile,Edge,Android,Email,Canada,130.60.12.218,1903
81,827,2024-03-01 08:17:07.315635,Profile,306,Desktop,Opera,Linux,Facebook,Canada,69.200.154.146,6824
82,649,2023-10-24 08:17:07.315648,Home,208,Desktop,Edge,iOS,Twitter,France,169.69.152.202,6419
83,754,2024-03-12 08:17:07.315665,Checkout,153,Mobile,Chrome,Windows,Bing,UK,35.136.81.213,5188
84,353,2023-11-14 08:17:07.315678,Contact,317,Desktop,Firefox,macOS,Facebook,Canada,158.86.255.240,8477
85,122,2023-10-04 08:17:07.315691,Contact,111,Desktop,Edge,Windows,Facebook,UK,57.213.76.209,5950
86,539,2024-06-22 08:17:07.315705,Profile,243,Mobile,Edge,Windows,Facebook,France,115.104.14.224,9017
87,219,2023-09-25 08:17:07.315718,Home,522,Mobile,Firefox,iOS,Google,UK,90.142.157.232,4976
88,533,2024-02-02 08:17:07.315731,Cart,278,Tablet,Safari,Android,Direct,Germany,170.35.167.242,1574
89,877,2023-09-10 08:17:07.315745,Profile,80,Desktop,Firefox,Linux,Bing,Australia,30.177.10.129,5802
90,826,2023-09-10 08:17:07.315758,Products,455,Mobile,Edge,iOS,Facebook,Germany,158.174.176.2,4658
91,180,2023-11-21 08:17:07.315772,Support,313,Desktop,Firefox,Android,Facebook,Canada,81.81.206.215,1208
92,563,2023-10-11 08:17:07.315786,Products,157,Tablet,Edge,macOS,Twitter,Australia,168.62.218.171,5811
93,483,2023-11-25 08:17:07.315799,Cart,107,Desktop,Edge,Android,Twitter,Canada,231.122.69.45,7767
94,425,2023-10-09 08:17:07.315814,Home,262,Tablet,Chrome,Linux,Google,Germany,242.234.49.7,5631
95,748,2023-08-11 08:17:07.315828,Checkout,229,Mobile,Edge,Linux,Email,Germany,59.218.223.177,3384
96,917,2024-01-21 08:17:07.315842,Contact,198,Desktop,Opera,macOS,Twitter,France,57.5.204.25,3484
97,242,2023-08-02 08:17:07.315855,Home,308,Desktop,Edge,macOS,Facebook,France,40.37.217.177,3356
98,580,2023-07-19 08:17:07.315869,Profile,377,Desktop,Firefox,Android,Twitter,UK,90.131.12.210,5373
99,240,2023-09-02 08:17:07.315882,Contact,396,Mobile,Firefox,Windows,Bing,Australia,245.97.252.159,6524
100,559,2023-12-28 08:17:07.315896,Cart,125,Mobile,Safari,Windows,Facebook,France,233.127.219.144,2155
101,305,2023-07-22 08:17:07.315910,Products,554,Desktop,Firefox,iOS,Direct,USA,200.94.27.60,4083
102,909,2023-09-15 08:17:07.315923,About,484,Tablet,Chrome,Linux,Google,USA,231.244.245.112,9811
103,749,2024-04-28 08:17:07.315937,About,207,Tablet,Chrome,iOS,Direct,UK,92.107.187.83,7972
104,193,2024-02-28 08:17:07.315951,Checkout,567,Tablet,Opera,macOS,Email,Canada,152.226.90.22,9997
105,864,2023-09-18 08:17:07.315965,Profile,70,Mobile,Opera,Linux,Twitter,Germany,107.222.165.51,7867
106,288,2024-04-18 08:17:07.315978,Home,395,Desktop,Chrome,Android,Google,Canada,50.17.80.184,5321
107,648,2023-09-15 08:17:07.315992,Home,285,Mobile,Firefox,iOS,Twitter,UK,47.144.193.2,9180
108,299,2023-11-30 08:17:07.316006,Contact,260,Tablet,Edge,Android,Direct,France,47.209.112.37,7034
109,213,2023-07-13 08:17:07.316019,Products,440,Desktop,Opera,macOS,Direct,UK,100.228.15.101,3373
110,967,2023-07-29 08:17:07.316034,Profile,368,Desktop,Chrome,iOS,Twitter,USA,1.20.84.149,2736
111,110,2024-03-03 08:17:07.316049,Home,15,Mobile,Edge,Android,Email,USA,170.191.67.188,5159
112,255,2023-07-30 08:17:07.316063,About,39,Desktop,Edge,iOS,Bing,Australia,252.44.202.5,9327
113,340,2024-01-03 08:17:07.316077,Contact,575,Tablet,Firefox,Windows,Google,France,162.137.214.115,8369
114,708,2023-07-28 08:17:07.316090,Support,61,Tablet,Chrome,Windows,Direct,USA,252.199.6.5,9683
115,742,2023-07-09 08:17:07.316104,Products,208,Mobile,Firefox,macOS,Bing,Australia,26.75.255.50,3471
116,675,2023-08-16 08:17:07.316118,Support,164,Desktop,Firefox,macOS,Direct,UK,196.249.226.178,8284
117,32,2024-04-05 08:17:07.316131,Checkout,485,Desktop,Edge,iOS,Facebook,Canada,146.227.142.215,2445
118,606,2023-07-21 08:17:07.316145,Support,26,Tablet,Opera,iOS,Email,USA,206.57.87.15,9384
119,904,2023-08-15 08:17:07.316158,Contact,175,Mobile,Chrome,macOS,Facebook,UK,245.131.184.197,5996
120,242,2023-08-20 08:17:07.316172,Cart,404,Mobile,Edge,Windows,Facebook,Germany,53.173.219.136,9697
121,276,2023-06-26 08:17:07.316185,Products,36,Tablet,Safari,Windows,Twitter,USA,10.100.197.42,5052
122,481,2023-11-24 08:17:07.316199,Support,160,Mobile,Safari,Linux,Email,USA,168.221.210.170,9089
123,852,2024-02-18 08:17:07.316212,About,177,Tablet,Firefox,iOS,Google,Canada,125.131.192.149,5214
124,423,2024-01-02 08:17:07.316226,Contact,136,Mobile,Chrome,macOS,Google,Germany,118.49.117.120,1278
125,121,2023-11-24 08:17:07.316239,Contact,225,Mobile,Chrome,iOS,Google,Germany,112.249.217.158,8555
126,890,2023-11-14 08:17:07.316253,About,180,Tablet,Firefox,Linux,Email,Germany,181.103.189.23,6538
127,650,2023-10-16 08:17:07.316266,Products,592,Mobile,Opera,Linux,Email,USA,209.201.140.59,9861
128,611,2024-05-11 08:17:07.316280,Contact,203,Mobile,Firefox,iOS,Direct,Australia,111.53.26.127,5723
129,848,2023-07-07 08:17:07.316292,Products,399,Tablet,Safari,macOS,Twitter,Australia,109.167.152.54,6365
130,154,2024-05-03 08:17:07.316306,Cart,232,Mobile,Opera,macOS,Bing,USA,127.182.75.155,1393
131,8,2024-04-10 08:17:07.316319,Cart,370,Desktop,Firefox,Windows,Direct,Germany,85.234.187.235,9319
132,319,2023-11-22 08:17:07.316333,Home,210,Mobile,Safari,Android,Facebook,UK,4.210.69.182,2260
133,801,2024-05-21 08:17:07.316347,Support,96,Mobile,Chrome,Linux,Email,Australia,125.22.52.27,9959
134,786,2023-10-10 08:17:07.316362,Contact,457,Desktop,Edge,iOS,Bing,UK,120.33.217.193,8237
135,95,2023-07-30 08:17:07.316375,Profile,302,Tablet,Safari,iOS,Direct,USA,192.7.13.135,8318
136,98,2024-06-05 08:17:07.316389,Products,600,Mobile,Chrome,macOS,Email,USA,145.79.125.45,3619
137,130,2023-11-13 08:17:07.316405,Checkout,507,Mobile,Edge,iOS,Bing,Germany,51.9.166.96,5716
138,227,2023-08-13 08:17:07.316420,Cart,73,Mobile,Opera,Windows,Twitter,USA,202.204.247.101,2214
139,901,2024-03-02 08:17:07.316433,Contact,505,Desktop,Safari,iOS,Facebook,France,183.208.58.215,4376
140,100,2023-10-07 08:17:07.316449,Home,277,Tablet,Firefox,Linux,Email,Canada,192.120.156.24,1257
141,97,2024-01-04 08:17:07.316463,Checkout,218,Tablet,Chrome,macOS,Direct,USA,125.56.75.200,6842
142,314,2023-08-08 08:17:07.316476,Contact,387,Mobile,Edge,macOS,Email,UK,118.39.104.167,1182
143,438,2023-12-13 08:17:07.316491,Home,154,Desktop,Chrome,iOS,Google,Australia,221.167.120.119,6553
144,998,2024-04-23 08:17:07.316504,Support,70,Mobile,Chrome,Windows,Direct,UK,188.34.11.129,6180
145,887,2023-08-01 08:17:07.316518,Contact,133,Mobile,Firefox,Windows,Email,UK,239.223.110.235,5582
146,56,2023-10-26 08:17:07.316532,Home,82,Desktop,Firefox,macOS,Google,France,78.100.253.206,1959
147,638,2024-03-27 08:17:07.316544,Support,466,Desktop,Opera,Linux,Twitter,USA,212.217.31.154,7733
148,998,2024-02-07 08:17:07.316558,Support,179,Mobile,Edge,Linux,Twitter,Germany,206.189.183.27,5680
149,147,2024-01-25 08:17:07.316571,Cart,102,Desktop,Opera,macOS,Google,USA,10.248.89.144,9499
150,990,2023-08-20 08:17:07.316585,Support,377,Mobile,Chrome,macOS,Twitter,UK,203.189.229.252,5180
151,989,2023-10-24 08:17:07.316600,Contact,244,Desktop,Firefox,iOS,Facebook,USA,44.91.65.237,4930
152,231,2024-05-12 08:17:07.316614,Products,303,Tablet,Opera,macOS,Google,USA,76.166.164.5,5144
153,212,2024-01-17 08:17:07.316627,Contact,119,Mobile,Safari,iOS,Bing,Germany,45.209.209.134,5533
154,678,2024-05-18 08:17:07.316641,Checkout,499,Desktop,Opera,macOS,Email,Canada,117.119.93.214,3001
155,381,2023-07-25 08:17:07.316654,Support,538,Mobile,Edge,Windows,Twitter,UK,222.44.157.184,9265
156,424,2023-11-27 08:17:07.316668,Cart,406,Desktop,Chrome,Linux,Facebook,Canada,30.215.204.63,9424
157,488,2023-12-17 08:17:07.316681,Support,392,Desktop,Chrome,Android,Bing,France,197.155.248.147,5223
158,629,2023-12-08 08:17:07.316695,Contact,560,Desktop,Safari,macOS,Twitter,Canada,4.253.8.224,6958
159,171,2024-06-16 08:17:07.316708,About,324,Tablet,Firefox,Linux,Twitter,Germany,30.230.208.173,4006
160,803,2023-07-13 08:17:07.316721,Contact,204,Tablet,Firefox,Windows,Direct,Australia,181.101.178.103,5167
161,232,2023-07-16 08:17:07.316735,About,196,Desktop,Chrome,Linux,Facebook,France,186.242.108.59,3144
162,549,2023-12-24 08:17:07.316748,Checkout,53,Desktop,Safari,Windows,Bing,France,36.228.156.210,3419
163,426,2024-06-06 08:17:07.316761,Checkout,333,Tablet,Firefox,Windows,Facebook,Australia,17.86.110.35,7503
164,472,2023-08-07 08:17:07.316775,Cart,291,Desktop,Firefox,Android,Email,France,132.21.37.123,6408
165,820,2023-08-23 08:17:07.316789,Support,181,Mobile,Firefox,Linux,Email,France,49.56.209.197,4668
166,819,2024-01-25 08:17:07.316803,Products,55,Mobile,Chrome,iOS,Facebook,UK,177.202.251.134,5494
167,304,2024-03-09 08:17:07.316816,Home,181,Desktop,Opera,Windows,Direct,Canada,136.114.94.203,1304
168,761,2023-12-15 08:17:07.316830,Home,468,Mobile,Safari,Android,Google,Australia,251.58.55.29,3042
169,479,2023-09-21 08:17:07.316844,Cart,310,Tablet,Chrome,Android,Facebook,UK,52.47.195.154,8615
170,707,2023-12-03 08:17:07.316857,Profile,434,Mobile,Edge,Linux,Facebook,UK,65.101.212.222,6661
171,691,2024-03-02 08:17:07.316872,Products,150,Desktop,Opera,macOS,Email,USA,159.142.233.204,6540
172,405,2023-10-03 08:17:07.316885,Contact,84,Tablet,Chrome,iOS,Bing,Germany,146.211.190.254,4482
173,493,2024-01-28 08:17:07.316898,Support,151,Tablet,Chrome,Linux,Facebook,USA,125.110.161.37,7420
174,104,2024-05-30 08:17:07.316912,Checkout,377,Tablet,Edge,Android,Direct,Germany,189.115.55.175,9863
175,162,2023-11-18 08:17:07.316928,Home,115,Desktop,Edge,Android,Direct,Australia,21.204.138.176,8448
176,887,2024-02-12 08:17:07.316942,Profile,88,Tablet,Opera,Android,Bing,Canada,249.15.101.113,5984
177,277,2023-08-31 08:17:07.316955,Products,567,Mobile,Edge,Android,Email,Australia,10.98.26.17,8938
178,195,2023-08-27 08:17:07.316967,Checkout,383,Mobile,Safari,Linux,Email,Germany,98.96.216.193,9070
179,599,2024-03-20 08:17:07.316981,Checkout,547,Tablet,Safari,iOS,Twitter,UK,174.15.35.119,3408
180,666,2024-02-23 08:17:07.316996,Checkout,73,Desktop,Safari,Windows,Bing,UK,221.2.103.55,2717
181,723,2024-04-06 08:17:07.317009,Contact,534,Desktop,Safari,macOS,Google,Australia,231.198.88.252,3812
182,66,2024-03-30 08:17:07.317023,Home,390,Desktop,Firefox,iOS,Facebook,France,28.255.102.66,6721
183,447,2023-08-16 08:17:07.317036,Home,216,Mobile,Edge,Android,Email,Germany,140.82.146.133,3233
184,763,2023-08-21 08:17:07.317050,Cart,226,Tablet,Chrome,macOS,Email,France,33.184.87.204,5948
185,1000,2024-06-06 08:17:07.317063,Checkout,400,Desktop,Opera,macOS,Direct,France,92.134.0.59,3819
186,815,2024-05-24 08:17:07.317076,About,24,Tablet,Chrome,Android,Email,USA,168.101.138.67,5136
187,743,2023-09-23 08:17:07.317165,Contact,429,Desktop,Edge,Linux,Email,USA,175.105.124.191,8098
188,216,2024-04-05 08:17:07.317180,Products,102,Desktop,Opera,iOS,Direct,UK,132.121.185.100,4881
189,732,2024-06-17 08:17:07.317193,Products,203,Mobile,Opera,macOS,Facebook,Australia,81.56.223.79,3936
190,534,2024-05-14 08:17:07.317207,Profile,13,Tablet,Chrome,Linux,Email,Germany,127.182.198.48,2201
191,569,2023-11-27 08:17:07.317221,Products,434,Desktop,Opera,Android,Direct,Canada,180.253.176.116,4918
192,27,2023-12-28 08:17:07.317234,Contact,437,Tablet,Opera,Linux,Google,Germany,93.249.68.173,4937
193,163,2023-12-25 08:17:07.317248,Cart,399,Mobile,Edge,Android,Email,Australia,35.197.84.38,5214
194,563,2024-06-01 08:17:07.317263,About,455,Tablet,Opera,Windows,Facebook,USA,193.250.6.153,9644
195,524,2023-08-28 08:17:07.317277,Products,106,Desktop,Firefox,Windows,Facebook,France,29.4.163.212,2500
196,621,2023-08-30 08:17:07.317306,Profile,332,Mobile,Firefox,Windows,Email,Germany,106.82.38.109,6403
197,677,2024-03-03 08:17:07.317320,Cart,330,Tablet,Edge,iOS,Twitter,Australia,250.137.235.197,9941
198,336,2024-03-05 08:17:07.317333,Products,419,Mobile,Opera,Linux,Bing,France,121.174.181.5,7150
199,18,2023-06-30 08:17:07.317346,Profile,336,Tablet,Opera,macOS,Bing,Canada,74.165.226.235,9795
200,487,2023-11-14 08:17:07.317359,Support,437,Desktop,Chrome,Windows,Facebook,Canada,211.44.153.37,4436
201,466,2024-02-02 08:17:07.317373,Checkout,441,Tablet,Firefox,Android,Facebook,USA,199.17.101.14,3868
202,65,2024-02-19 08:17:07.317389,Cart,203,Tablet,Edge,macOS,Google,Australia,77.110.217.7,2059
203,929,2024-01-12 08:17:07.317403,Products,503,Tablet,Firefox,Windows,Email,Canada,144.163.17.207,7895
204,189,2023-06-28 08:17:07.317417,About,235,Desktop,Opera,iOS,Direct,Canada,102.74.234.47,5297
205,613,2023-10-23 08:17:07.317431,Contact,478,Mobile,Edge,iOS,Email,Australia,219.182.209.105,7567
206,647,2024-01-01 08:17:07.317444,Checkout,11,Mobile,Opera,Android,Email,Australia,110.27.120.183,1355
207,339,2023-11-30 08:17:07.317556,About,426,Desktop,Edge,Windows,Direct,Germany,254.123.62.88,4969
208,863,2024-03-19 08:17:07.317573,Checkout,64,Mobile,Firefox,Linux,Twitter,Canada,39.71.167.160,6030
209,906,2024-03-17 08:17:07.317588,Profile,271,Mobile,Firefox,Linux,Google,Australia,198.52.250.187,3460
210,123,2024-04-19 08:17:07.317602,Home,474,Mobile,Safari,Android,Google,UK,123.51.120.51,3063
211,841,2023-07-24 08:17:07.317615,Cart,450,Mobile,Firefox,Linux,Email,UK,62.43.27.227,7739
212,866,2023-11-09 08:17:07.317628,Checkout,413,Desktop,Chrome,Android,Twitter,France,56.68.1.16,5472
213,221,2023-11-07 08:17:07.317642,Profile,441,Tablet,Safari,macOS,Bing,France,95.207.140.28,2429
214,937,2024-01-22 08:17:07.317655,Cart,285,Tablet,Opera,iOS,Google,Australia,147.203.114.16,9821
215,814,2023-08-15 08:17:07.317669,Cart,559,Tablet,Safari,Android,Google,France,179.82.162.137,9216
216,946,2023-11-26 08:17:07.317683,Checkout,556,Mobile,Firefox,Windows,Email,Germany,193.17.107.245,2987
217,124,2023-07-29 08:17:07.317696,Products,418,Mobile,Firefox,iOS,Direct,Australia,99.150.87.11,2040
218,952,2023-10-17 08:17:07.317710,Contact,241,Desktop,Firefox,Linux,Facebook,Germany,237.67.227.167,5877
219,593,2023-10-31 08:17:07.317723,Profile,520,Tablet,Edge,iOS,Bing,UK,56.253.176.240,6586
220,196,2024-01-11 08:17:07.317737,Home,212,Mobile,Chrome,Android,Facebook,Germany,227.253.58.239,4023
221,67,2023-07-28 08:17:07.317751,Contact,374,Tablet,Chrome,macOS,Facebook,Germany,200.161.177.104,7440
222,252,2024-02-14 08:17:07.317765,Products,216,Mobile,Chrome,Linux,Bing,USA,53.230.44.179,8584
223,355,2024-06-13 08:17:07.317778,Contact,264,Desktop,Firefox,Linux,Twitter,USA,160.96.71.123,1387
224,510,2023-08-19 08:17:07.317792,Contact,184,Desktop,Edge,Android,Google,UK,162.32.134.162,2482
225,543,2023-08-12 08:17:07.317805,Checkout,164,Desktop,Chrome,iOS,Facebook,USA,201.248.64.109,1337
226,854,2023-12-30 08:17:07.317818,About,100,Mobile,Edge,iOS,Direct,USA,221.193.149.6,3226
227,152,2023-08-04 08:17:07.317832,Home,447,Mobile,Safari,macOS,Direct,Australia,186.82.27.42,6738
228,151,2023-10-10 08:17:07.317846,Support,113,Desktop,Opera,Windows,Twitter,UK,148.238.85.172,9964
229,51,2024-02-11 08:17:07.317859,Profile,360,Mobile,Edge,Linux,Bing,Australia,222.13.70.217,5049
230,449,2023-07-17 08:17:07.317872,Cart,554,Tablet,Safari,Android,Email,UK,28.122.236.148,2044
231,464,2024-06-10 08:17:07.317885,Support,571,Desktop,Opera,macOS,Google,Australia,18.221.208.251,6786
232,398,2024-06-20 08:17:07.317899,Cart,330,Desktop,Edge,iOS,Email,Australia,133.127.170.107,5921
233,567,2023-12-16 08:17:07.317913,Contact,239,Desktop,Edge,Windows,Facebook,Canada,236.225.255.66,2156
234,469,2023-10-08 08:17:07.317928,Support,92,Desktop,Firefox,macOS,Facebook,Canada,72.169.247.152,8716
235,419,2023-11-17 08:17:07.317942,Checkout,530,Desktop,Firefox,macOS,Direct,Germany,169.124.156.102,7260
236,849,2023-11-08 08:17:07.317955,Support,463,Mobile,Opera,Linux,Direct,USA,115.123.30.229,5949
237,424,2023-10-21 08:17:07.317968,Contact,584,Desktop,Edge,Android,Google,Australia,83.168.89.229,1865
238,166,2024-05-21 08:17:07.317981,Cart,524,Desktop,Opera,macOS,Twitter,Germany,157.162.254.175,3072
239,559,2024-02-17 08:17:07.317996,About,79,Mobile,Opera,macOS,Direct,Canada,31.198.238.39,9382
240,487,2024-04-20 08:17:07.318011,Products,170,Tablet,Edge,iOS,Twitter,France,218.119.145.32,7142
241,579,2023-11-25 08:17:07.318025,About,282,Tablet,Edge,macOS,Twitter,Germany,135.124.185.254,7710
242,890,2023-09-28 08:17:07.318038,Contact,494,Mobile,Safari,Linux,Bing,France,85.71.153.37,1756
